epoch,loss,channel_size,p_mutate,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy,$p_{m}$,Meta Experiment Index,Experiment Index
1,3.8994712829589844,5,0.0,4.752048492431641,0.335,0.335,1.0991432666778564,0.6529088020324707,0.33333292603492737,1.6003745794296265,0.0,0,0
2,3.737950325012207,5,0.0,,,,,,,,0.0,0,0
3,3.751187801361084,5,0.0,,,,,,,,0.0,0,0
4,3.8430099487304688,5,0.0,,,,,,,,0.0,0,0
5,3.7479135990142822,5,0.0,,,,,,,,0.0,0,0
6,3.7472705841064453,5,0.0,4.044764518737793,0.3225,0.3225,1.104567527770996,0.9401987195014954,0.5,0.1600022315979004,0.0,0,0
7,3.6741397380828857,5,0.0,,,,,,,,0.0,0,0
8,3.456120014190674,5,0.0,,,,,,,,0.0,0,0
9,2.871605157852173,5,0.0,,,,,,,,0.0,0,0
10,2.3829610347747803,5,0.0,,,,,,,,0.0,0,0
11,1.7307971715927124,5,0.0,1.5670427083969116,0.83125,0.83125,0.2273254245519638,0.3397163450717926,1.0,7.222239013367687e-35,0.0,0,0
12,1.3779337406158447,5,0.0,,,,,,,,0.0,0,0
13,1.0054755210876465,5,0.0,,,,,,,,0.0,0,0
14,1.0033679008483887,5,0.0,,,,,,,,0.0,0,0
15,1.0007089376449585,5,0.0,,,,,,,,0.0,0,0
16,1.0000630617141724,5,0.0,1.0000507831573486,1.0,1.0,7.488400569855003e-06,4.342557804193348e-05,1.0,7.222239013367687e-35,0.0,0,0
17,1.0000052452087402,5,0.0,,,,,,,,0.0,0,0
18,1.0000005960464478,5,0.0,,,,,,,,0.0,0,0
19,1.0000009536743164,5,0.0,,,,,,,,0.0,0,0
20,1.000000238418579,5,0.0,,,,,,,,0.0,0,0
21,1.000000238418579,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
22,1.000000238418579,5,0.0,,,,,,,,0.0,0,0
23,1.000000238418579,5,0.0,,,,,,,,0.0,0,0
24,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
25,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
26,1.000000238418579,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
27,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
28,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
29,1.000000238418579,5,0.0,,,,,,,,0.0,0,0
30,1.000000238418579,5,0.0,,,,,,,,0.0,0,0
31,1.000000238418579,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
32,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
33,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
34,1.000000238418579,5,0.0,,,,,,,,0.0,0,0
35,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
36,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
37,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
38,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
39,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
40,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
41,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
42,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
43,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
44,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
45,1.000000238418579,5,0.0,,,,,,,,0.0,0,0
46,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
47,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
48,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
49,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
50,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
51,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,0
52,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
53,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
54,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
55,1.0000001192092896,5,0.0,,,,,,,,0.0,0,0
