Mutation Probability,Self-play Performance
0.6,0.97
0.6,0.95875
0.6,0.96625
0.6,0.9425
0.6,0.975
0.6,0.95875
0.7,0.94125
0.7,0.98625
0.7,0.9725
0.3,0.9975
0.3,0.975
0.3,0.9925
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.9,0.9775
0.9,0.9725
0.9,0.99
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.1,0.99375
0.1,0.99375
0.1,0.9975
0.4,0.875
0.4,0.98875
0.4,0.87625
0.2,0.99625
0.2,0.9925
0.2,0.99125
0.2,0.9925
0.2,1.0
0.2,0.98625
0.8,0.965
0.8,0.945
0.8,0.93875
0.8,0.93625
0.8,0.9575
0.8,0.93875
0.5,0.9275
0.5,0.91625
0.5,0.9375
