epoch,loss,channel_size,p_mutate,message_permutation,permutation_subset_size,channel_temp,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy,Subset Size,Meta Experiment Index,Experiment Index
0,1.100999355316162,5,0,True,2.0,10.0,1.1000168323516846,0.3125,0.3125,1.1046671867370605,1.5161935091018677,0.3877083659172058,1.130454182624817,2,0,0
1,1.0743138790130615,5,0,True,2.0,9.772372209558107,,,,,,,,2,0,0
2,0.53199303150177,5,0,True,2.0,9.54992586021436,,,,,,,,2,0,0
3,0.8060023784637451,5,0,True,2.0,9.33254300796991,,,,,,,,2,0,0
4,0.02478635311126709,5,0,True,2.0,9.120108393559098,,,,,,,,2,0,0
5,0.003264626255258918,5,0,True,2.0,8.912509381337456,6.172160625457764,0.335,0.335,3.7636518478393555,4.155900001525879,0.5831250548362732,0.18021461367607117,2,0,0
6,0.005854645743966103,5,0,True,2.0,8.709635899560807,,,,,,,,2,0,0
7,0.0023195496760308743,5,0,True,2.0,8.511380382023765,,,,,,,,2,0,0
8,0.0019224033458158374,5,0,True,2.0,8.317637711026709,,,,,,,,2,0,0
9,0.00111791689414531,5,0,True,2.0,8.128305161640993,,,,,,,,2,0,0
10,0.0016132702585309744,5,0,True,2.0,7.943282347242815,7.620530605316162,0.31125,0.31125,7.362933158874512,3.047576904296875,0.44500014185905457,0.6353269219398499,2,0,0
11,0.03813796862959862,5,0,True,2.0,7.762471166286917,,,,,,,,2,0,0
12,0.00419648876413703,5,0,True,2.0,7.5857757502918375,,,,,,,,2,0,0
13,0.0022206157445907593,5,0,True,2.0,7.413102413009175,,,,,,,,2,0,0
14,0.0001271090004593134,5,0,True,2.0,7.244359600749901,,,,,,,,2,0,0
15,0.00050684146117419,5,0,True,2.0,7.079457843841379,7.029037952423096,0.33875,0.33875,6.895252704620361,2.499457597732544,0.4356250762939453,0.716347873210907,2,0,0
16,1.0432617273181677e-05,5,0,True,2.0,6.918309709189366,,,,,,,,2,0,0
17,0.0005049353931099176,5,0,True,2.0,6.760829753919818,,,,,,,,2,0,0
18,0.0008517696987837553,5,0,True,2.0,6.60693448007596,,,,,,,,2,0,0
19,0.000248572148848325,5,0,True,2.0,6.4565422903465555,,,,,,,,2,0,0
20,5.154265454621054e-05,5,0,True,2.0,6.3095734448019325,8.455025672912598,0.3325,0.3325,8.299490928649902,2.6432015895843506,0.4368750751018524,0.7055450677871704,2,0,0
21,0.00029697889112867415,5,0,True,2.0,6.165950018614822,,,,,,,,2,0,0
22,4.181354233878665e-05,5,0,True,2.0,6.025595860743578,,,,,,,,2,0,0
23,0.1985887587070465,5,0,True,2.0,5.8884365535558905,,,,,,,,2,0,0
24,0.00010795572597999126,5,0,True,2.0,5.7543993733715695,,,,,,,,2,0,0
25,0.004012588877230883,5,0,True,2.0,5.623413251903491,8.813023567199707,0.34,0.34,8.45584487915039,2.669058322906494,0.4660417139530182,0.4534793496131897,2,0,0
26,0.0005085525335744023,5,0,True,2.0,5.495408738576247,,,,,,,,2,0,0
27,7.302523590624332e-05,5,0,True,2.0,5.370317963702528,,,,,,,,2,0,0
28,0.0034133861772716045,5,0,True,2.0,5.248074602497726,,,,,,,,2,0,0
29,0.004317288286983967,5,0,True,2.0,5.128613839913649,,,,,,,,2,0,0
30,0.00011811374861281365,5,0,True,2.0,5.011872336272724,8.473398208618164,0.33625,0.33625,7.368534088134766,2.3830559253692627,0.49666666984558105,0.18880993127822876,2,0,0
31,0.0014490627218037844,5,0,True,2.0,4.8977881936844625,,,,,,,,2,0,0
32,0.00014740639016963542,5,0,True,2.0,4.786300923226384,,,,,,,,2,0,0
33,0.012007847428321838,5,0,True,2.0,4.677351412871983,,,,,,,,2,0,0
34,0.0218819510191679,5,0,True,2.0,4.57088189614875,,,,,,,,2,0,0
35,0.00017922732513397932,5,0,True,2.0,4.466835921509632,8.143351554870605,0.33875,0.33875,7.455830097198486,2.0809719562530518,0.4991666376590729,0.16720417141914368,2,0,0
36,0.0006565192015841603,5,0,True,2.0,4.36515832240166,,,,,,,,2,0,0
37,0.00023305790091399103,5,0,True,2.0,4.265795188015927,,,,,,,,2,0,0
38,0.01587180234491825,5,0,True,2.0,4.168693834703355,,,,,,,,2,0,0
39,0.00016388078802265227,5,0,True,2.0,4.073802778041127,,,,,,,,2,0,0
40,0.000365855114068836,5,0,True,2.0,3.9810717055349727,8.2439603805542,0.40125,0.40125,5.579491138458252,2.780294418334961,0.7256249785423279,0.08780142664909363,2,0,0
41,6.32832816336304e-05,5,0,True,2.0,3.8904514499428062,,,,,,,,2,0,0
42,8.371294825337827e-06,5,0,True,2.0,3.801893963205613,,,,,,,,2,0,0
43,9.453105462853273e-07,5,0,True,2.0,3.7153522909717256,,,,,,,,2,0,0
44,4.8764331950224005e-06,5,0,True,2.0,3.6307805477010135,,,,,,,,2,0,0
45,0.0001119405496865511,5,0,True,2.0,3.5481338923357546,7.195372104644775,0.3637500000000001,0.36375,5.695656776428223,2.3458750247955322,0.7162500023841858,0.09080145508050919,2,0,0
46,0.0002575887192506343,5,0,True,2.0,3.467368504525317,,,,,,,,2,0,0
47,1.2343228263489436e-05,5,0,True,2.0,3.3884415613920256,,,,,,,,2,0,0
48,1.1727432138286531e-05,5,0,True,2.0,3.3113112148259116,,,,,,,,2,0,0
49,4.661239290726371e-05,5,0,True,2.0,3.2359365692962827,,,,,,,,2,0,0
50,0.008716952055692673,5,0,True,2.0,3.16227766016838,6.136618614196777,0.4925,0.4925,5.59919548034668,2.665635347366333,0.8224999904632568,0.0568009577691555,2,0,0
51,0.0013651278568431735,5,0,True,2.0,3.0902954325135905,,,,,,,,2,0,0
52,3.727583680301905e-05,5,0,True,2.0,3.0199517204020165,,,,,,,,2,0,0
53,0.09182318300008774,5,0,True,2.0,2.9512092266663865,,,,,,,,2,0,0
54,0.01181243546307087,5,0,True,2.0,2.8840315031266064,,,,,,,,2,0,0
55,9.078517177840695e-05,5,0,True,2.0,2.818382931264454,6.149112701416016,0.53125,0.53125,4.688755512237549,2.6232640743255615,0.8068749904632568,0.06180104240775108,2,0,0
56,0.00023089340538717806,5,0,True,2.0,2.7542287033381663,,,,,,,,2,0,0
57,0.006562313996255398,5,0,True,2.0,2.691534803926916,,,,,,,,2,0,0
58,0.000314468692522496,5,0,True,2.0,2.6302679918953826,,,,,,,,2,0,0
59,0.006667640060186386,5,0,True,2.0,2.570395782768864,,,,,,,,2,0,0
60,0.0009053351823240519,5,0,True,2.0,2.5118864315095806,5.752048492431641,0.58125,0.58125,3.042039155960083,2.70969295501709,0.846875011920929,0.049000825732946396,2,0,0
61,0.0020579497795552015,5,0,True,2.0,2.4547089156850306,,,,,,,,2,0,0
62,0.007506921421736479,5,0,True,2.0,2.398832919019491,,,,,,,,2,0,0
63,0.006969843525439501,5,0,True,2.0,2.3442288153199224,,,,,,,,2,0,0
64,0.015849731862545013,5,0,True,2.0,2.290867652767773,,,,,,,,2,0,0
65,3.956978616770357e-05,5,0,True,2.0,2.23872113856834,5.824371337890625,0.54125,0.54125,5.278536319732666,2.125044345855713,0.8349999785423279,0.05280089005827904,2,0,0
66,0.001039493945427239,5,0,True,2.0,2.187761623949553,,,,,,,,2,0,0
67,0.0326712541282177,5,0,True,2.0,2.1379620895022327,,,,,,,,2,0,0
68,0.0029428049456328154,5,0,True,2.0,2.0892961308540396,,,,,,,,2,0,0
69,0.016156455501914024,5,0,True,2.0,2.0417379446695296,,,,,,,,2,0,0
70,0.0004078053461853415,5,0,True,2.0,1.9952623149688797,3.367000102996826,0.6225,0.6225,3.655623197555542,2.5007500648498535,0.8387500047683716,0.0516008697450161,2,0,0
71,0.016959533095359802,5,0,True,2.0,1.9498445997580456,,,,,,,,2,0,0
72,0.0029264052864164114,5,0,True,2.0,1.9054607179632477,,,,,,,,2,0,0
73,0.0009180508786812425,5,0,True,2.0,1.8620871366628677,,,,,,,,2,0,0
74,0.0009591829730197787,5,0,True,2.0,1.8197008586099839,,,,,,,,2,0,0
75,0.001708568655885756,5,0,True,2.0,1.778279410038923,1.4957541227340698,0.7875,0.7875,2.028066635131836,2.6463310718536377,0.8912500143051147,0.034800585359334946,2,0,0
76,0.000672826892696321,5,0,True,2.0,1.7378008287493758,,,,,,,,2,0,0
77,0.0012824118603020906,5,0,True,2.0,1.6982436524617448,,,,,,,,2,0,0
78,0.02528628334403038,5,0,True,2.0,1.6595869074375607,,,,,,,,2,0,0
79,0.00016983633395284414,5,0,True,2.0,1.6218100973589302,,,,,,,,2,0,0
80,0.0004296728875488043,5,0,True,2.0,1.5848931924611138,1.2835344076156616,0.75,0.75,1.3173702955245972,2.3933424949645996,0.940625011920929,0.01900031976401806,2,0,0
81,0.0002909855102188885,5,0,True,2.0,1.5488166189124817,,,,,,,,2,0,0
82,0.00043197639752179384,5,0,True,2.0,1.5135612484362082,,,,,,,,2,0,0
83,0.0010273200459778309,5,0,True,2.0,1.4791083881682077,,,,,,,,2,0,0
84,0.0009292314061895013,5,0,True,2.0,1.4454397707459279,,,,,,,,2,0,0
